,participants,variables
456,P01,-4.915017721428768
457,P01,-4.509146358773748
458,P01,-4.244031309521759
459,P01,-4.116034379839078
460,P01,-4.116571609503495
461,P01,-4.263033740689224
462,P01,-4.599641806034242
463,P01,-5.140122013574285
464,P01,-5.765758479446234
465,P01,-6.304097130264751
466,P01,-6.699677966316699
467,P01,-6.997457172831517
468,P01,-7.275579379122476
469,P01,-7.627046517106038
470,P01,-8.111572775974508
471,P01,-8.617848230389768
472,P01,-9.052860153500518
473,P01,-9.520749993905042
474,P01,-10.15773067517712
475,P01,-11.164011605462761
476,P01,-12.660318563789076
477,P01,-14.548563681544252
478,P01,-16.694054050381
479,P01,-18.775426705280736
480,P01,-20.32056412870911
481,P01,-20.97503466640987
482,P01,-20.552824409438813
483,P01,-19.20274569079031
484,P01,-17.313893713546577
485,P01,-15.373980956047745
486,P01,-13.819009554102848
487,P01,-12.745861064771205
488,P01,-12.180036353708147
489,P01,-12.04940659712193
490,P01,-12.39343771319983
491,P01,-13.199778353282483
492,P01,-14.26721172893231
493,P01,-15.340942023624905
494,P01,-16.23918872836022
495,P01,-16.94486009111958
496,P01,-13.770246645225441
497,P01,-7.595471010188234
498,P01,-2.3596351437748524
499,P01,1.784977692839945
500,P01,4.8286782372865105
501,P01,6.6100840792995115
502,P01,7.0473295264561955
503,P01,5.867333871485954
504,P01,4.420510701683128
505,P01,5.509879053769225
506,P01,4.16205488518824
507,P01,1.949823211169317
508,P01,-1.0472215396276567
509,P01,-4.627847808855989
510,P01,-8.479928871925125
511,P01,-12.365093109752948
512,P01,-16.258227330456663
513,P01,-19.288165974830264
514,P01,-17.729661357209963
515,P01,-16.124004514395594
516,P01,-14.63930673215826
517,P01,-13.281061675883308
518,P01,-11.976865759217617
519,P01,-10.672399646561772
520,P01,-9.449583630381781
521,P01,-8.656325550261755
522,P01,-8.834915910362099
523,P01,-10.258796844526245
524,P01,-12.261055218752006
525,P01,-13.986217031047076
526,P01,-14.8934856723682
527,P01,-14.786999611720745
528,P01,-13.564369647453148
529,P01,-11.250729098829325
530,P01,-8.02548916862753
531,P01,-4.20576203753609
532,P01,-0.3169356440076143
533,P01,3.045004259365257
534,P01,5.3448139275700015
535,P01,6.319599711391874
536,P01,5.852660230101989
537,P01,4.132794981735884
538,P01,1.2163544110787115
539,P01,-2.6630241165587307
540,P01,-6.887224685560852
541,P01,-10.35982526619837
542,P01,-12.45718660797263
543,P01,-13.006210604726121
544,P01,-12.326838659011997
545,P01,-10.975582081302562
546,P01,-9.454412877155846
547,P01,-8.147776360639554
548,P01,-7.2692015276089705
549,P01,-6.834798966516772
550,P01,-6.74345680169813
551,P01,-6.880403761414371
552,P01,-7.085370796523762
553,P01,-7.173717732612175
554,P01,-7.024198228732658
555,P01,-6.598058518655648
556,P01,-5.868105020303005
557,P01,-4.852459566861512
558,P01,-3.6298346276518316
559,P01,-2.3788136820845978
560,P01,-1.3057556874107803
561,P01,-0.6582046221207349
562,P01,-0.6323224272440342
563,P01,-1.3367864507560228
564,P01,-2.510235960936626
565,P01,-3.7312591533923722
566,P01,-4.805428665969401
567,P01,-5.722779648312553
568,P01,-6.596017738303345
569,P01,-7.687989458782425
570,P01,-9.126929259770918
571,P01,-10.805998221350052
572,P01,-12.522705041217023
573,P01,-14.232899397121045
574,P01,-15.821482088179707
575,P01,-17.29066448959142
576,P01,-18.620127273828047
577,P01,-19.776855276631366
578,P01,-20.666336862834527
579,P01,-21.036150668232906
580,P01,-20.555771517585555
581,P01,-19.010657235507864
582,P01,-17.016200658200233
583,P01,-15.158877137656006
584,P01,-13.691705731465703
585,P01,-12.571726516573776
586,P01,-11.808653104154828
587,P01,-11.400489874641721
588,P01,-11.433553756153003
589,P01,-12.01756771470643
590,P01,-13.243348727244324
591,P01,-15.094211712975763
592,P01,-17.27158545597321
593,P01,-19.317296229821466
594,P01,-20.85724620907986
595,P01,-15.162863278750251
596,P01,-9.00149588239995
597,P01,-3.5678724521298903
598,P01,1.1867787513091343
599,P01,5.153613886630026
600,P01,8.205676699183783
601,P01,10.175795727414581
602,P01,11.04509948182276
603,P01,10.603864587347672
604,P01,8.614111268161011
605,P01,6.559639654808123
606,P01,4.214169055680983
607,P01,3.0864647014571887
608,P01,0.9516490995653442
609,P01,-2.0667379706092817
610,P01,-5.742759152990743
611,P01,-9.702464649126085
612,P01,-13.609314022758966
613,P01,-17.18176856770772
614,P01,-20.276467690293586
615,P01,-21.133511824587373
616,P01,-20.328134044359402
617,P01,-19.49415226954251
618,P01,-18.722430840538877
619,P01,-18.06194095077838
620,P01,-17.548287939289864
621,P01,-17.20748809643426
622,P01,-17.05193837536595
623,P01,-17.087168871399726
624,P01,-17.32732347082974
625,P01,-17.748267130155
626,P01,-18.105822668238773
627,P01,-18.18179508204946
628,P01,-17.828233838764376
629,P01,-16.933751281517488
630,P01,-15.403060423111839
631,P01,-13.248047104531196
632,P01,-10.585905043349456
633,P01,-7.6293321738207425
634,P01,-4.746936018727368
635,P01,-2.3689478013433387
636,P01,-0.8387054078136487
637,P01,-0.33593492496544286
638,P01,-0.807171922834101
639,P01,-2.1865818058447815
640,P01,-4.422922008579846
641,P01,-7.414221554171931
642,P01,-10.77658052040303
643,P01,-13.90606454711201
644,P01,-16.303941306082592
645,P01,-17.826398140750626
646,P01,-18.520182883854076
647,P01,-18.506998206151522
648,P01,-17.983610926652048
649,P01,-17.115511548415498
650,P01,-16.03054239697842
651,P01,-14.834319099247452
652,P01,-13.606067133844093
653,P01,-12.38550729010845
654,P01,-11.140115499655764
655,P01,-9.79484559353888
656,P01,-8.274384528603107
657,P01,-6.552276996391058
658,P01,-4.739608357870111
659,P01,-3.0051355360927374
660,P01,-1.5644998107448487
661,P01,-0.6186471088028469
662,P01,-0.30270837481901935
663,P01,-0.6493276789837097
664,P01,-1.5564156497904804
665,P01,-2.804690801916877
666,P01,-4.173336576283674
667,P01,-5.452747073663076
668,P01,-6.504884355797998
669,P01,-7.253459072781993
670,P01,-7.780767334469175
671,P01,-8.25707412472616
672,P01,-8.742080451270823
673,P01,-9.257178509455116
674,P01,-9.84796317224965
675,P01,-10.544143230936072
676,P01,-11.479474973587912
677,P01,-12.816535725806673
678,P01,-14.579869610572885
679,P01,-16.77005849651671
680,P01,-19.190901800156666
681,P01,-21.47850024736084
682,P01,-23.139061147623295
683,P01,-23.80590863239435
684,P01,-23.26203807132559
685,P01,-21.70401049050352
686,P01,-19.59612734686955
687,P01,-17.450058352789284
688,P01,-15.527550239413031
689,P01,-13.944518043149685
690,P01,-12.803817980293118
691,P01,-12.199550465433447
692,P01,-12.172663799636283
693,P01,-12.688000716282332
694,P01,-13.56441097694075
695,P01,-14.610605225431996
696,P01,-15.614429462506422
697,P01,-15.60294859294767
698,P01,-8.666799884843456
699,P01,-2.7241794382700846
700,P01,2.0884472978934667
701,P01,5.833768090108379
702,P01,8.55040897713738
703,P01,10.178010947821605
704,P01,10.617327130954905
705,P01,9.82069570508797
706,P01,8.812207099306974
707,P01,11.681101768057758
708,P01,9.693606944857208
709,P01,6.395239898829672
710,P01,1.9124143978419568
711,P01,-3.5084946754136865
712,P01,-9.456804449193953
713,P01,-15.482801720646492
714,P01,-18.526510084378017
715,P01,-16.5381629209584
716,P01,-14.52807548532941
717,P01,-12.738837005165962
718,P01,-11.31457322570661
719,P01,-10.280064384718486
720,P01,-9.604618307266492
721,P01,-9.219798977947235
722,P01,-9.028914668092838
723,P01,-8.970898512049075
724,P01,-9.011737407003679
725,P01,-9.08573191072604
726,P01,-9.09753160000652
727,P01,-8.901884368768023
728,P01,-8.363548747724536
729,P01,-7.42227562121154
730,P01,-6.059077954900388
731,P01,-4.305208497047275
732,P01,-2.3012901098971525
733,P01,-0.2640443958177059
734,P01,1.4955940791310383
735,P01,2.7144750705172527
736,P01,3.2401450046987605
737,P01,3.0277880874480445
738,P01,2.207487751285484
739,P01,0.7872184783065848
740,P01,-1.2833282563185264
741,P01,-3.681690938173986
742,P01,-5.971173819350014
743,P01,-7.695795403230221
744,P01,-8.574874434865194
745,P01,-8.64827357061499
746,P01,-8.18043979309337
747,P01,-7.475675567446672
748,P01,-6.756751231414853
749,P01,-6.121707339358466
750,P01,-5.591898984618211
751,P01,-5.153046996455288
752,P01,-4.777082007908007
753,P01,-4.389785329926099
754,P01,-3.920745718890771
755,P01,-3.344178307255902
756,P01,-2.6605436374502176
757,P01,-1.9407852217984214
758,P01,-1.3004681333058983
759,P01,-0.8933325245997139
760,P01,-0.8585158646442466
761,P01,-1.2958015422181575
762,P01,-2.261444168666287
763,P01,-3.6470676725346607
764,P01,-5.1412909873453145
765,P01,-6.4438914316129114
766,P01,-7.38469530277078
767,P01,-7.955608660697948
768,P01,-8.156416146233653
769,P01,-8.083703046212861
770,P01,-7.923593347931785
771,P01,-7.800624648954539
772,P01,-7.870940694638591
773,P01,-8.341853425395897
774,P01,-9.322376380084592
775,P01,-10.915918138463923
776,P01,-13.012720892122445
777,P01,-15.422590276506199
778,P01,-17.990685303426318
779,P01,-20.494729197262245
780,P01,-22.66992840742151
781,P01,-24.209127880498187
782,P01,-24.789855496885153
783,P01,-24.22760001565787
784,P01,-22.75503226525028
785,P01,-20.78815844660386
786,P01,-18.88022874377596
787,P01,-17.238919061212783
788,P01,-15.894630198091846
789,P01,-14.893137170682337
790,P01,-14.30787377754234
791,P01,-14.300285367575867
792,P01,-14.91570672807913
793,P01,-15.897648871664387
794,P01,-16.948304910200022
795,P01,-17.802733709789337
796,P01,-16.292704979821934
797,P01,-10.274541065696368
798,P01,-5.170318549780106
799,P01,-1.0093749231454865
800,P01,2.2209347906698014
801,P01,4.49785825006947
802,P01,5.878327077828629
803,P01,6.453572650737399
804,P01,6.202170940516041
805,P01,5.0397581873236135
806,P01,2.91058715573989
807,P01,1.2457539140752374
808,P01,2.3290512242512165
809,P01,1.882726885559478
810,P01,0.4444113123794864
811,P01,-1.9429256276752227
812,P01,-5.189731714272085
813,P01,-9.035180746809743
814,P01,-13.334701568000497
815,P01,-18.076598603400768
816,P01,-17.969341914233596
817,P01,-16.5421618673748
818,P01,-14.646144903862535
819,P01,-12.308599834728682
820,P01,-9.521716268636325
821,P01,-6.373410846474229
822,P01,-3.232331730156247
823,P01,-0.7672934197930061
824,P01,0.23423556541081325
825,P01,-0.6023825347852778
826,P01,-3.126587595877595
827,P01,-6.528850758208435
828,P01,-9.702619158915837
829,P01,-11.980600487496076
830,P01,-13.03632064463028
831,P01,-12.896763558848988
832,P01,-11.715472900068733
833,P01,-9.671668480031585
834,P01,-7.086946240413141
835,P01,-4.368426815512606
836,P01,-2.0346989129721322
837,P01,-0.533821084423181
838,P01,-0.08260360398273292
839,P01,-0.7664999622842004
840,P01,-2.4310386001282325
841,P01,-4.841455592844326
842,P01,-7.62816367929716
843,P01,-10.216667525332213
844,P01,-12.21555950143086
845,P01,-13.464130567016156
846,P01,-14.027434400525095
847,P01,-14.088191109571497
848,P01,-13.825414143475115
849,P01,-13.430348408657153
850,P01,-12.977666008428344
851,P01,-12.445961081984194
852,P01,-11.802329510443897
853,P01,-11.053180187620725
854,P01,-10.227398347414024
855,P01,-9.371064763743078
856,P01,-8.493116808584375
857,P01,-7.56147689153012
858,P01,-6.561115330285745
859,P01,-5.52436851360477
860,P01,-4.468612821024834
861,P01,-3.4312851858615545
862,P01,-2.5401913873696174
863,P01,-1.9872779186913476
864,P01,-1.979519599662197
865,P01,-2.6409937160586026
866,P01,-3.9049293530567155
867,P01,-5.472548465004962
868,P01,-6.972309643843218
869,P01,-8.14086377534224
870,P01,-8.876619272348819
871,P01,-9.208482144987045
872,P01,-9.25203272051499
873,P01,-9.22393192903128
874,P01,-9.187392562218776
875,P01,-9.106210290555339
876,P01,-8.993205496390857
877,P01,-8.934037359874722
878,P01,-9.141333098915652
879,P01,-9.890993244048417
880,P01,-11.309761704901007
881,P01,-13.435675794668853
882,P01,-16.010646235098022
883,P01,-18.6626188783668
884,P01,-20.909592304551552
885,P01,-22.23288102816909
886,P01,-22.373570824442467
887,P01,-21.381989044203124
888,P01,-19.486589802714832
889,P01,-17.1975340589091
890,P01,-14.981493933030038
891,P01,-13.159915603532497
892,P01,-11.742143465827468
893,P01,-10.7809711200713
894,P01,-10.419807484157445
895,P01,-10.77096396756562
896,P01,-11.873852046817433
897,P01,-13.537242357474312
898,P01,-15.380540052937178
899,P01,-17.088516305448536
900,P01,-15.868879620236697
901,P01,-9.610223874800653
902,P01,-4.382222057400185
903,P01,-0.25905086774339736
904,P01,2.7407317796944852
905,P01,4.517901097859763
906,P01,4.914605939166492
907,P01,3.9652594260643923
908,P01,2.8452599467340036
909,P01,-3.0054960977712
910,P01,-5.0258867335983695
911,P01,-8.093036299198744
912,P01,-12.046165582283649
913,P01,-16.571759441938283
914,P01,-19.60934358819901
915,P01,-19.53404115777549
916,P01,-19.076515265914068
917,P01,-18.35409277384821
918,P01,-17.538151464203878
919,P01,-16.790266552297297
920,P01,-16.22893835608639
921,P01,-15.910175513045445
922,P01,-15.837779471126723
923,P01,-15.993207772573157
924,P01,-16.338862547342217
925,P01,-16.808976160921702
926,P01,-17.303989912191952
927,P01,-17.713454123787997
928,P01,-17.90999223093553
929,P01,-17.728758866173436
930,P01,-17.036223259633175
931,P01,-15.754869991258445
932,P01,-13.887683773926298
933,P01,-11.51798803638114
934,P01,-8.84588710550858
935,P01,-6.207452545747373
936,P01,-3.993415727889186
937,P01,-2.557051987571299
938,P01,-2.10880621808856
939,P01,-2.694126347881479
940,P01,-4.2128029123563095
941,P01,-6.541824025182422
942,P01,-9.376268074492287
943,P01,-12.19841581768317
944,P01,-14.58667136803129
945,P01,-16.36898735718006
946,P01,-17.49048520629593
947,P01,-17.985980395900626
948,P01,-17.91804779418355
949,P01,-17.41522891213792
950,P01,-16.579256246447585
951,P01,-15.5019930260394
952,P01,-14.258045552114766
953,P01,-12.909378582798013
954,P01,-11.504708924069575
955,P01,-10.037612966163849
956,P01,-8.516285293017432
957,P01,-6.994076164762973
958,P01,-5.581150091022479
959,P01,-4.442085952900101
960,P01,-3.7359923542382063
961,P01,-3.6030545507200458
962,P01,-4.115443550796044
963,P01,-5.159725117371011
964,P01,-6.4557390954321505
965,P01,-7.716181218571691
966,P01,-8.703271131952988
967,P01,-9.290488208848842
968,P01,-9.488868243260995
969,P01,-9.378334146166665
970,P01,-9.124215970709784
971,P01,-8.880535849160225
972,P01,-8.681958180799512
973,P01,-8.538277521471699
974,P01,-8.490018426590922
975,P01,-8.603788434934927
976,P01,-9.055668648614017
977,P01,-10.001746728310877
978,P01,-11.442959348124887
979,P01,-13.323266864044442
980,P01,-15.345869599712174
981,P01,-17.197714632350994
982,P01,-18.63473287156127
983,P01,-19.48333536513067
984,P01,-19.635240340708933
985,P01,-19.053289011834167
986,P01,-17.881729946922633
987,P01,-16.435723972710463
988,P01,-15.004885653296625
989,P01,-13.792865141619075
990,P01,-12.88746817691954
991,P01,-12.334154481312169
992,P01,-12.216532882654064
993,P01,-12.66328693757653
